field,value
model,TRAN-DIFF
model_kind,transformer_diffusion
checkpoint_name,forecast-nocontext-transformer-diffusion__freq-3H__hor-7d__ctx-0__seq-56__seed-0__mode-nocontext_core.pt
checkpoint_path,E:\Desktop\UNSW\Thesis\Project\sorted\checkpoints\generative\forecast-nocontext-transformer-diffusion__freq-3H__hor-7d__ctx-0__seq-56__seed-0__mode-nocontext_core.pt
exported_at,2026-08-02T18:32:15
FREQ,3H
PRIMARY_HORIZON,7d
CONTEXT_LEN,0
SEQ_LEN,56
WINDOW_STRIDE,56
EVAL_POOL,validation
PLOT_N,512
EVAL_SEED,10123
SAMPLES,200
EVAL_BATCH_SIZE,64
quantiles,"[0.1, 0.5, 0.9]"
ALPHA_PI,0.2
interval_percent,80.0
elapsed_seconds,687.9884798999992
point_forecast_for_mae_peak_kl_dtw,q0.50
point_forecast_for_rmse,sample mean
,
metric,value
KL_hist,0.22298310590301268
DTW_mean,65.09787431359291
MAE_median,1.291548728942871
RMSE_mean,2.2150437336691278
PeakMAE,4.158400058746338
QuantileLoss,0.46714234352111816
Winkler,7.556526184082031
