field,value
model,TRAN-DIFF
model_kind,transformer_diffusion
checkpoint_name,forecast-transformer-diffusion__freq-30min__hor-24h__ctx-96__seq-48__seed-0__mode-core.pt
checkpoint_path,E:\Desktop\UNSW\Thesis\Project\sorted\checkpoints\generative\forecast-transformer-diffusion__freq-30min__hor-24h__ctx-96__seq-48__seed-0__mode-core.pt
exported_at,2026-08-01T21:21:09
FREQ,30min
PRIMARY_HORIZON,24h
CONTEXT_LEN,96
SEQ_LEN,48
WINDOW_STRIDE,48
EVAL_POOL,validation
PLOT_N,512
EVAL_SEED,10123
SAMPLES,200
EVAL_BATCH_SIZE,64
quantiles,"[0.1, 0.5, 0.9]"
ALPHA_PI,0.2
interval_percent,80.0
elapsed_seconds,886.3076403999994
point_forecast_for_mae_peak_kl_dtw,q0.50
point_forecast_for_rmse,sample mean
,
metric,value
KL_hist,0.049176026946182144
DTW_mean,5.6534144887991715
MAE_median,0.15552063286304474
RMSE_mean,0.3241064665375924
PeakMAE,0.5994269251823425
QuantileLoss,0.054088007658720016
Winkler,0.8450369834899902
