field,value
model,TRAN-DIFF
model_kind,transformer_diffusion
checkpoint_name,forecast-transformer-diffusion__freq-3H__hor-24h__ctx-16__seq-8__seed-0__mode-core.pt
checkpoint_path,E:\Desktop\UNSW\Thesis\Project\sorted\checkpoints\generative\forecast-transformer-diffusion__freq-3H__hor-24h__ctx-16__seq-8__seed-0__mode-core.pt
exported_at,2026-08-01T21:49:47
FREQ,3H
PRIMARY_HORIZON,24h
CONTEXT_LEN,16
SEQ_LEN,8
WINDOW_STRIDE,8
EVAL_POOL,validation
PLOT_N,512
EVAL_SEED,10123
SAMPLES,200
EVAL_BATCH_SIZE,64
quantiles,"[0.1, 0.5, 0.9]"
ALPHA_PI,0.2
interval_percent,80.0
elapsed_seconds,1163.6416573000006
point_forecast_for_mae_peak_kl_dtw,q0.50
point_forecast_for_rmse,sample mean
,
metric,value
KL_hist,0.13859561349501237
DTW_mean,4.846320709591964
MAE_median,0.7199106812477112
RMSE_mean,1.3493913947595653
PeakMAE,1.2398755550384521
QuantileLoss,0.24228139221668243
Winkler,3.668888807296753
