field,value
model,TRAN-VAE
model_kind,transformer_vae
checkpoint_name,forecast-transformer-vae__freq-30min__hor-24h__ctx-96__seq-48__seed-0__mode-core.pt
checkpoint_path,E:\Desktop\UNSW\Thesis\Project\sorted\checkpoints\generative\forecast-transformer-vae__freq-30min__hor-24h__ctx-96__seq-48__seed-0__mode-core.pt
exported_at,2026-08-01T21:21:26
FREQ,30min
PRIMARY_HORIZON,24h
CONTEXT_LEN,96
SEQ_LEN,48
WINDOW_STRIDE,48
EVAL_POOL,validation
PLOT_N,512
EVAL_SEED,10123
SAMPLES,200
EVAL_BATCH_SIZE,64
quantiles,"[0.1, 0.5, 0.9]"
ALPHA_PI,0.2
interval_percent,80.0
elapsed_seconds,4.027218400000493
point_forecast_for_mae_peak_kl_dtw,q0.50
point_forecast_for_rmse,sample mean
,
metric,value
KL_hist,0.08551585360070608
DTW_mean,6.17567666355535
MAE_median,0.1692027598619461
RMSE_mean,0.340853276930279
PeakMAE,0.6135513186454773
QuantileLoss,0.08317887783050537
Winkler,1.6493526697158813
